Cyberincidentnum,Dyadpair,StateA,StateB,Name,interactionstartdate,interactionenddate,method,targettype,initiator,cyber_objective,information_operation,objective_achievement,Concession ,3rdpartyinitiator,severity,damage type,Crit Inf,Supply Ch,Ransomware,Political Objective,Sources1,Sources2,Sources3,Sources4,Sources5,Justice,Cert,FBI
14,2365,US,Russia,"Operation Pawn Storm: Nuclear power plants, newspapers",6/3/2014,12/1/2014,3,1,365,2,1,1,0,0,4,2,3,0,0,Backdoor intrusion in to several commercial networks via spear phishing,https://blog.trendmicro.com/trendlabs-security-intelligence/update-pawn-storm-new-targets-politically-motivated-campaigns/,https://fcw.com/articles/2017/04/25/critical-trendmicro-pawn-storm.aspx,https://www.computerworld.com/article/2837824/cyberespionage-group-goes-phishing-for-outlook-web-app-users.ht,,,,,
15,2365,US,Russia,US Banks hacked,6/4/2014,7/8/2014,3,1,365,1,0,0,0,0,3,2,9,0,0,Seen as a retaliation on US targeted sanctions on Russians over the Ukraine conflcit,https://www.americanbanker.com/articles/us-banks-caught-up-in-hacking-scheme-tied-to-russians, https://www.nytimes.com/2014/08/28/technology/hackers-target-banks-including-jpmorgan.html,,,,,,
16,2365,US,Russia,White House hack,10/26/2014,10/28/2014,3,2,365,2,0,1,0,0,3,2,11,0,0,"White House email server compromised, inclduing President Obama's",https://www.washingtonpost.com/world/national-security/hackers-breach-some-white-house-computers/2014/10/28/2ddf2fa0-5ef7-11e4-91f7-5d89b5e8c251_story.html?utm_term=.0195817c8032, https://www.nytimes.com/2015/04/26/us/russian-hackers-read-obamas-unclassified-emails-officials-say.html,,,,,,
17,2365,US,Russia,State Dept hack,11/15/2014,11/17/2014,3,2,365,2,0,0,0,0,3,2,11,0,0,State Dept unclassified email system breached and contained,https://www.washingtonpost.com/world/national-security/new-details-emerge-about-2014-russian-hack-of-the-state-department-it-was-hand-to-hand-combat/2017/04/03/d89168e0-124c-11e7-833c-503e1f6394c9_story.html?utm_term=.d19a9fb4a985, https://arstechnica.com/tech-policy/2017/04/russias-hack-of-state-department-was-hand-to-hand-combat/,,,,,,
18,2365,US,Russia,Yahoo breach 1,11/22/2014,9/22/2016,3,1,365,3,0,1,0,0,3,2,13,1,0,500 million Yahoo users' PII stolen by Russian hacking group ,https://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html, https://slate.com/technology/2016/09/yahoo-hack-in-2014-exposed-500-million-user-credentials-company-confirms.html,,,,,,
19,2365,US ,Russia,DoD breach,3/1/2015,3/15/2015,3,3,365,3,0,0,0,0,3,2,11,1,0,Attempt a breaching DoD unlcassified networks ,https://www.washingtonpost.com/world/national-security/us-suspects-russia-in-hack-of-pentagon-computer-network/2015/08/06/b80e1644-3c7a-11e5-9c2d-ed991d848c48_story.html?utm_term=.d58a36d9a267, https://www.usatoday.com/story/news/nation/2015/08/06/russia-reportedly-hacks-pentagon-email-system/31228625/,,,,,,
20,2365,US,Russia,2016 Presidential Election/Russia_1,6/15/2015,11/8/2016,3,1,365,2,1,1,0,0,4,1,11,1,0,FSB/APT 29 hacks DNC and RNC and releases compromising information on the Democrats via Wikileaks and social media ,https://www.wired.com/story/dnc-lawsuit-reveals-key-details-2016-hack/, https://www.symantec.com/blogs/election-security/election-hacking-faq,,,,,,
21,2365,US,Russia,JCS network breach,6/26/2015,6/28/2015,3,3,365,3,0,1,0,0,3,2,11,0,0,"Breach of unclassified network of Joint Chiefs of Staff, system taken offline to stop spread ",https://www.thedailybeast.com/pentagon-hack-most-sophisticated-ever, https://www.cnn.com/2015/08/05/politics/joint-staff-email-hack-vulnerability/index.html,,,,,,
22,2365,US,Russia,ProjectSauron_A,9/2/2015,8/9/2016,3,1,2,3,0,1,0,0,3,2,3,0,0,Publically available sources claim that APT targets and steals information from finance and telecoms ,https://arstechnica.com/information-technology/2016/08/researchers-crack-open-unusually-advanced-malware-that-hid-for-5-years/,https://www.bbc.com/news/technology-37021957,,,,,,
23,2365,US,Russia,ProjectSauron_B,9/2/2015,8/9/2016,3,3,2,3,0,1,0,0,3,2,11,0,0,Publically available sources claim that APT targets and steals information from military networks  ,https://arstechnica.com/information-technology/2016/08/researchers-crack-open-unusually-advanced-malware-that-hid-for-5-years/,https://www.bbc.com/news/technology-37021957,,,,,,
24,2365,US,Russia,2016 Presidential Election/Russia_2,4/3/2016,11/8/2016,3,1,365,2,1,1,0,0,4,1,11,0,0,"GRU/APT 28 hacks DNC, DCCC, and John Podesta and releases compromising information to Wikileaks and social media ","https://www.nytimes.com/2016/12/13/us/politics/russia-hack-election-dnc.html, https://www.fireeye.com/content/dam/fireeye-www/solutions/pdfs/st-senate-intel-committee-russia-election.pdf",,,,,,,
25,2365,US,Russia,World Doping Agency Hacks,9/16/2016,5/1/2018,3,1,365,2,1,1,0,0,3,2,11,0,0,"linked to the Westinghouse Electric Corporation Chemical Weapons, and incident in Hague",https://www.secureworldexpo.com/industry-news/how-russia-hacked-anti-doping-agencies,https://www.nytimes.com/2019/10/28/sports/olympics/russia-doping-wada-hacked.html,https://blogs.microsoft.com/on-the-issues/2019/10/28/cyberattacks-sporting-anti-doping/,,,https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,,
26,2365,US,Russia,PowerDuke/APT29,11/8/2016,11/10/2016,3,1,365,2,0,0,0,0,2,1,17,0,0,CozyBear group launches massive spear phishing campaign agains US think tanks hours after election ,"https://www.volexity.com/blog/2016/11/09/powerduke-post-election-spear-phishing-campaigns-targeting-think-tanks-and-ngos/, https://techcrunch.com/2016/11/14/russian-hacking-team-the-dukes-targeting-ngos-and-think-tanks-after-trump-victory/",,,,,,,
27,2365,US,Russia,Think Tank Hack,11/8/2016,11/10/2016,3,1,365,2,0,0,0,0,2,1,17,0,0,CozyBear spear phishing against US think tanks after election ,https://www.volexity.com/blog/2016/11/09/powerduke-post-election-spear-phishing-campaigns-targeting-think-tanks-and-ngos/,https://www.rand.org/pubs/research_reports/RRA382-1.html,https://krebsonsecurity.com/2016/11/russian-dukes-of-hackers-pounce-on-trump-win/,https://www.cfr.org/cyber-operations/attempted-compromise-us-think-tanks,https://techcrunch.com/2016/11/14/russian-hacking-team-the-dukes-targeting-ngos-and-think-tanks-after-trump-victory/,,,
28,2365,US,Russia,Attack on DoD Officals,3/1/2017,3/15/2017,3,1,365,2,0,0,0,0,2,2,11,0,0,attempt to breach US DoD accounts,https://www.theverge.com/2017/5/18/15658300/russia-hacking-twitter-bots-pentagon-putin-election,https://time.com/4783932/inside-russia-social-media-war-america/,,,,,,
29,2365,US,Russia,Wolf Creek Phishing ,5/1/2017,7/1/2017,3,1,365,4,0,1,0,0,5,2,8,1,0,Attempt to breach (Wolf Creek) network and energy plants,https://www.bbc.com/news/world-us-canada-40538061,https://www.nytimes.com/2017/07/06/technology/nuclear-plant-hack-report.html,https://www.wired.com/story/hack-brief-us-nuclear-power-breach/,,,,,
30,2365,US,Russia,NotPetya_B,6/1/2017,7/1/2018,4.3,2,365,4,0,1,0,0,4,4,15,1,0,NotPetya world wide breach of industry ,https://www.wired.com/story/notpetya-cyberattack-ukraine-russia-code-crashed-the-world/,https://www.zdnet.com/article/blaming-russia-for-notpetya-was-coordinated-diplomatic-action/,,,,https://www.justice.gov/opa/pr/six-russian-gru-officers-charged-connection-worldwide-deployment-destructive-malware-and,,
31,2365,US,Russia,US Senator Hacking Attempt,8/1/2017,7/1/2018,3,2,365,2,0,0,0,0,1,2,11,0,0,Election meddling,https://www.npr.org/2018/07/26/632890327/russians-unsuccessfully-tried-to-hack-computers-of-democratic-sen-claire-mccaski,,,,,,,
32,2365,US,Russia,Neptun (PHI),1/1/2018,6/20/2019,4.4,2,365,3,0,1,0,0,1,1,11,0,0,Neptun passive sniffer looking for admin commands ,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/waterbug-espionage-governments,https://www.cybersecurity-review.com/tag/waterbug/,,,,,,
33,2365,US,Russia,ShellRunner (PHIII),1/1/2018,6/20/2019,4.2,2,365,3,0,1,0,0,4,4,11,0,0,ShellRunner backdoor ,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/waterbug-espionage-governments,https://www.cybersecurity-review.com/tag/waterbug/,,,,,,
34,2365,US,Russia,Meterpreter (PHII),1/1/2018,6/20/2019,3,2,365,3,0,1,0,0,4,4,11,0,0,Meterpreter backdoor to install spyware,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/waterbug-espionage-governments,https://www.cybersecurity-review.com/tag/waterbug/,,,,,,
35,2365,US,Russia,Senate Domain Attack,8/15/2018,8/22/2018,3,2,365,2,0,0,0,0,2,2,11,0,0,Attempt to breach US Senate network,https://www.cnn.com/2018/08/21/politics/microsoft-russia-american-politicians,https://blogs.microsoft.com/on-the-issues/2018/08/20/we-are-taking-new-steps-against-broadening-threats-to-democracy/,,,,,,
36,2365,US,Russia,Senate Domain Attack-Think Tanks,8/15/2018,8/22/2018,3,1,365,2,0,0,0,0,2,2,17,0,0,Attempt to breach US Conservative think tanks network,https://www.cnn.com/2018/08/21/politics/microsoft-russia-american-politicians,https://blogs.microsoft.com/on-the-issues/2018/08/20/we-are-taking-new-steps-against-broadening-threats-to-democracy/,,,,,,
37,2365,US,Russia,Grid warning,9/1/2018,6/1/2019,3,2,2,1,1,1,0,0,5,2,8,0,0,Publically available sources claim US could retaliate against Russia,https://www.lawfareblog.com/us-cyber-command-and-russian-grid-proportional-countermeasures-statutory-authorities-and,https://www.nytimes.com/2019/06/15/us/politics/trump-cyber-russia-grid.html,,,,,,
38,2365,US,Russia,IRA wiper,11/1/2018,12/1/2018,4.1,2,2,4,1,1,0,0,4,1,11,1,0,Publically available sources claim that CYBERCOM Wipes data from Servers at IRA Troll farm ,"https://www.washingtonpost.com/world/national-security/us-cyber-command-operation-disrupted-internet-access-of-russian-troll-factory-on-day-of-2018-midterms/2019/02/26/1827fc9e-36d6-11e9-af5b-b51b7ff322e9_story.html, https://www.wired.com/story/cyber-command-ira-strike-sends-signal/, https://www.nytimes.com/2018/10/23/us/politics/russian-hacking-usa-cyber-command.html",,,,,,,
39,2365,US,Russia,DoS Impersonation Hack,11/1/2018,11/16/2018,3,2,365,2,0,1,0,0,4,1,17,0,0,State dept employee impersonation to get privileged access,https://www.reuters.com/article/us-usa-cyber-russia/russians-impersonating-u-s-state-department-aide-in-hacking-campaign-researchers-idUSKCN1NL2BG,https://www.forbes.com/sites/robertolsen/2018/11/20/russian-hackers-said-to-be-impersonating-u-s-state-dept-with-phishing-campaign/?sh=2349f74c6608,https://apnews.com/article/24a49d39b9e74738a61312052436f5c4,,,,,
40,2365,US,Russia,2018 DNC Attack,11/14/2018,12/1/2018,3,1,365,2,0,0,0,0,2,2,11,0,0,"DNC phished, unsuccessful",https://abcnews.go.com/Politics/dnc-alleges-targeted-phishing-attack-midterms-part-ongoing/story?id=60456187,,,,,,,
41,2365,US,Russia,CSIS Domain Clone,1/31/2019,2/28/2019,3,1,365,2,0,0,0,0,1,1,17,0,0,"Fancy Bear attempted on CSIC, court Microsoft control of a group of websites",https://www.cnn.com/2019/01/30/politics/fancy-bear-microsoft-csis-think-tank :  https://www.newsweek.com/russian-military-intelligence-hackers-dnc-washington-1313036,,,,,,,
42,2365,US,Russia,Exim Transfer Agent Exploit ,8/1/2019,6/1/2020,4.3,1,365,3,1,1,0,0,3,2,13,1,0,NSA Exposes software flaw Exim ,https://www.wired.com/story/nsa-sandworm-exim-mail-server-warning/,,,,,,https://us-cert.cisa.gov/ncas/current-activity/2020/05/28/nsa-releases-advisory-sandworm-actors-exploiting-exim,
43,2365,US,Russia,SUNBURST,9/4/2019,12/17/2020,4.3,1,365,3,0,1,1,0,4,2,13,1,0,SolarWinds breach,https://www.nytimes.com/2021/02/23/us/politics/solarwinds-hack-senate-intelligence-russia.html,https://www.wired.com/story/russia-solarwinds-hack-roundup/,https://www.lawfareblog.com/solarwinds-breach-why-your-work-computers-are-down-today,https://www.fireeye.com/blog/threat-research/2020/12/evasive-attacker-leverages-solarwinds-supply-chain-compromises-with-sunburst-backdoor.html,https://www.csoonline.com/article/3613571/the-solarwinds-hack-timeline-who-knew-what-and-when.html,,,
44,2365,US,Russia,ZeroLogon Aviation Attacks,2/1/2020,10/1/2020,3,1,365,3,0,1,0,0,4,4,15,0,0,Targeting Citirix Gateways and Exchange Servers with ZeroLogon Vulnerability,https://www.zdnet.com/article/fbi-cisa-russian-hackers-breached-us-government-networks-exfiltrated-data/,,,,,,https://us-cert.cisa.gov/ncas/alerts/aa20-296a,
45,2365,US,Russia,ZeroLogon SLTT Attacks,2/1/2020,10/1/2020,3,2,365,3,0,1,0,0,4,4,13,0,0,Targeting Citirix Gateways and Exchange Servers with ZeroLogon Vulnerability,https://www.zdnet.com/article/fbi-cisa-russian-hackers-breached-us-government-networks-exfiltrated-data/ ,,,,,,https://us-cert.cisa.gov/ncas/alerts/aa20-296a,
46,2365,US,Russia,WellMess COVID Attacks,4/1/2020,7/16/2020,3,1,365,3,0,0,0,0,4,2,12,0,0,Attempted access to COVID vaccine data ,https://www.securitymagazine.com/articles/92870-apt29-targets-covid-19-vaccine-development,https://media.defense.gov/2020/Jul/16/2002457639/-1/-1/0/NCSC_APT29_ADVISORY-QUAD-OFFICIAL-20200709-1810.PDF,,,"Linked to two other incidnets; Russian attacks against US, Canada, and UK",,,
47,2365,US,Russia,COVID disruption_Russia,5/1/2020,11/1/2020,3,1,365,1,0,1,0,0,2,1,12,0,0,Attempted access to COVID vaccine data ,https://techcrunch.com/2020/11/13/microsoft-russia-north-korea-hackers-coronavirus-vaccine/,https://blogs.microsoft.com/on-the-issues/2020/11/13/health-care-cyberattacks-covid-19-paris-peace-forum/?2020-11-12,https://www.wsj.com/articles/covid-19-vaccine-makers-face-russian-north-korean-cyberattacks-microsoft-says-11605276003,,,,,
48,2630,US,Iran,Stuxnet .5_A,11/1/2007,6/1/2010,4.3,3,2,3,0,1,0,1,3,2,14,1,0,Publically available sources claim that Intrusion in the Natanz plant gathering vulnerablity information ,https://www.symantec.com/connect/blogs/stuxnet-05-disrupting-uranium-processing-natanz,,,,,,,
49,2630,US,Iran,Snowglobe,4/2/2008,12/1/2011,3,2,2,3,0,0,0,1,4,2,17,1,0,"Publically available sources claim that NSA targets several high profile targets in Iran, including the foreign ministry, the Atomic Energy Organization of Iran, and several universities conducting nuclear research","https://www.cybereason.com/blog/operation-snowglobe, https://resources.infosecinstitute.com/topic/animal-farm-apt-and-the-shadow-of-france-intelligence/, https://www.eff.org/files/2015/01/28/20150117-spiegel-nsa_example_snowglobe_in_which_a_suspected_french_government_trojan_is_analyzed_to_find_out_if_it_can_be_helpful_for_own_interests_0.pdf",,,,,,,
50,2630,US,Iran,Stuxnet_A,6/1/2009,10/1/2010,4.3,3,2,4,0,1,1,1,6,2,14,1,0,"Publically available sources claim that Spohisticated worm that infiltrated Iran's nuclear facilities and caused centrifuge damage, coercive measure to discourage Iranian nuclear program ",https://www.symantec.com/connect/blogs/updated-w32stuxnet-dossier-available, https://www.csoonline.com/article/3218104/malware/what-is-stuxnet-who-created-it-and-how-does-it-work.html,,,,,,
51,2630,US,Iran,Flame_A,6/1/2009,12/2/2012,4.2,3,2,3,0,1,0,1,3,2,11,1,0,Publically available sources claim that To steal and collect key information of the Iranian networks and systems that have been infected.,https://www.wired.com/2012/05/flame/,https://www.washingtonpost.com/blogs/blogpost/post/flame-faq-all-you-need-to-know-about-the-virus/2012/06/20/gJQAAlrTqV_blog.html,https://www.npr.org/2012/06/02/154188937/flame-sheds-light-on-politics-of-cyberwarfare,,,,,
52,2630,US,Iran,Twitter Hack,12/18/2009,12/18/2009,1,1,630,1,1,0,0,0,2,1,17,0,0,Defacement of many Iranian anti-regime Twitter accounts to limit coordinated protest action ,https://techcrunch.com/2009/12/17/twitter-reportedly-hacked-by-iranian-cyber-army/, https://www.businessinsider.com/twitter-hacked-by-iranian-cyber-army-2009-12,,,,,,
53,2630,US,Iran,Iran network infiltration,3/14/2010,3/14/2010,3,2,2,3,0,1,0,0,3,2,11,0,0,"Publically available sources claim that  Test of vulnerabilities of Iranian secure networks, precursor to Stuxnet ","http://www.cnn.com/2010/WORLD/meast/03/13/iran.cyber.arrests/index.html, https://www.washingtonpost.com/world/national-security/an-american-is-caught-in-irans-spy-game/2012/01/23/gIQAw8Z3LQ_story.html?noredirect=on&utm_term=.aa9740e4a90e",,,,,,,
54,2630,US,Iran,Comodo Hack,3/25/2011,3/27/2011,3,1,630,2,1,0,0,0,1,1,13,1,0,Iranian state attack on US security company Comodo to trick employees and access sensistive information,https://www.cnet.com/news/comodo-hack-may-reshape-browser-security/, https://www.wired.com/2011/03/comodo-hack/,,,,,,
55,2630,US,Iran,Operation Newscaster,4/15/2011,5/26/2013,3,1,630,2,0,1,1,0,2,2,2,0,0,Theft of information from various news outlets through social media,https://www.reuters.com/article/iran-hackers-idUSL1N0OE2CU20140529, https://securityaffairs.co/wordpress/25355/hacking/iranian-hackers-social-media.html,,,,,,
56,2630,US,Iran,Duqu_A,9/11/2011,12/1/2011,3,3,2,3,0,1,0,1,3,2,14,0,0,Publically available sources claim that Malware to  gain remote access capabilities. To copy the uranium enriching plant so that the US could map the entire centrifuge set up.," https://www.symantec.com/content/dam/symantec/docs/security-center/white-papers/w32-duqu-11-en.pdf, https://www.mcafee.com/enterprise/en-us/threat-center/duqu.html",https://www.f-secure.com/v-descs/backdoor_w32_duqu.shtml,,,,,,
57,2630,US,Iran,Operation Ababil,12/28/2012,1/2/2013,2,1,630,1,1,0,0,0,2,1,9,0,0,DDoS campaign to flood the networks of several US banks,https://www.nytimes.com/2013/01/09/technology/online-banking-attacks-were-work-of-iran-us-officials-say.html, https://www.tomsguide.com/us/bank-attack-indictments,news-22467.html,,,,,
58,2630,US,Iran,Iranian Attacks against Universities US Pre17,1/1/2013,12/1/2017,3,1,630,3,0,1,0,0,4,4,17,0,0,"Hacking group posing as the Mabna Institute, password spraying",https://carnegieendowment.org/specialprojects/protectingfinancialstability/timeline#click-hide,https://www.fbi.gov/wanted/cyber/iranian-mabna-hackers,,,,https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary,,https://www.fbi.gov/wanted/cyber/iranian-mabna-hackers
59,2630,US,Iran,Bowman Ave Dam,8/28/2013,9/18/2013,3,1,630,1,0,1,0,0,3,2,5,1,0,"Remote breach of SCADA system of NY dam, signaling capability operation ",https://www.nytimes.com/2016/03/26/nyregion/rye-brook-dam-caught-in-computer-hacking-case.html,,,,,,,
60,2630,US,Iran,NMCI hack,9/23/2013,9/25/2013,3,3,630,2,0,1,0,0,1,2,11,0,0,Navy and Marine Corps unclassified intranet briefly breached,https://arstechnica.com/information-technology/2014/02/iranians-hacked-navy-network-for-4-months-not-a-surprise/, https://www.wsj.com/articles/us-says-iran-hacked-navy-computers-1380314771,,,,,,
61,2630,US,Iran,Saffron Rose,10/23/2013,3/15/2014,3,1,630,2,0,0,0,0,1,2,6,1,0,Information theft campaign on US Aerospace industry,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-operation-saffron-rose.pdf, https://securityaffairs.co/wordpress/24923/cyber-crime/ajax-security-team-iran.html,,,,,,
62,2630,US,Iran,Univeristy hacks,12/20/2013,3/25/2018,3,1,630,3,0,1,0,0,3,2,17,0,0,Iran targets 144 US universities to steal technology and research ,https://www.justice.gov/usao-sdny/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic, https://www.wired.com/story/iran-cyberattacks-us-universities-indictment/,,,,,,
63,2630,US,Iran,Las Vegas Sands Hack,2/10/2014,2/12/2014,4.1,1,630,1,0,1,0,0,2,1,2,0,0,Wiper malware hits Las Vegas Sands compnay for Sheldon Adelsons comments about using nuclear weapons on Iran,https://www.bloomberg.com/news/articles/2014-12-11/iranian-hackers-hit-sheldon-adelsons-sands-casino-in-las-vegas, https://www.theverge.com/2014/12/11/7376249/iran-hacked-sands-hotel-in-february-cyberwar-adelson-israel,,,,,,
64,2630,US,Iran,Prince of Persia_A,5/4/2015,4/30/2016,3,2,630,3,0,1,0,0,3,2,13,1,0,"Spyware infects unamed US govt entity, infrastructure","https://unit42.paloaltonetworks.com/prince-of-persia-infy-malware-active-in-decade-of-targeted-attacks/, https://www.cybersecurity-insiders.com/fireeye-discloses-cyber-attack-incident-details-on-triconex-ist/",,,,,,,
65,2630,US,Iran,ProjectSauron_C,9/2/2015,8/9/2016,3,3,2,3,0,1,0,0,3,2,11,0,0,Publically available sources claim that APT targets and steals information from military networks  ,https://arstechnica.com/information-technology/2016/08/researchers-crack-open-unusually-advanced-malware-that-hid-for-5-years/,https://www.bbc.com/news/technology-37021957,,,,,,
66,2630,US,Iran,State Dept phishing ,11/5/2015,11/24/2015,3,2,630,2,0,1,0,0,2,2,11,0,0,Iranian hackers target social media accounts of State Dept officials to steal credentials ,https://arstechnica.com/information-technology/2015/11/iranian-military-spear-phish-of-state-department-employees-detected-first-by-facebook/, https://www.nytimes.com/2015/11/25/world/middleeast/iran-hackers-cyberespionage-state-department-social-media.html,,,,,,
67,2630,US,Iran,OilRig A,12/1/2015,2/15/2017,3,1,630,3,0,1,0,0,3,2,13,1,0,OilRig espionage camaping targets intellectual property of several tech companies ,https://securityaffairs.co/wordpress/52027/hacking/oilrig-campaign-iran-hackers.html, https://www.forbes.com/sites/thomasbrewster/2017/02/15/oilrig-iran-hackers-cyberespionage-us-turkey-saudi-arabia/#73c3809e468a,,,,,,
68,2630,US,Iran,OilRig B,12/1/2015,2/15/2017,3,2,630,3,0,1,0,0,3,2,11,1,0,OilRig espionage camaping targets multiple US officials  ,https://securityaffairs.co/wordpress/52027/hacking/oilrig-campaign-iran-hackers.html, https://www.forbes.com/sites/thomasbrewster/2017/02/15/oilrig-iran-hackers-cyberespionage-us-turkey-saudi-arabia/#73c3809e468a,,,,,,
69,2630,US,Iran,Aviation Industry Hack,6/1/2016,9/20/2017,3,1,630,3,0,1,0,0,3,1,6,0,0,Iranian attacks against U.S. aerospace sector & Saudi Arabia business conglomerate.,https://www.fireeye.com/blog/threat-research/2017/09/apt33-insights-into-iranian-cyber-espionage.html,,,,,,,
70,2630,US,Iran,Iran ChunkyTuna Attacks,1/1/2017,7/15/2020,3,2,630,3,0,1,0,0,4,2,11,0,0," technology, government, defense, and healthcare organizations.",https://www.crowdstrike.com/blog/who-is-pioneer-kitten/,,,,,,https://us-cert.cisa.gov/ncas/alerts/aa20-259a,
