Incident No.,Inclusion Criteria I,Inclusion Criteria II,Source Incident Detection/Disclosure,Source Incident Detection/Disclosure II,Start Date (Year),Start Date (Month),Start Date (Date),End Date (Year),End Date (Month),End Date (Date),Receiver Category I,Receiver Category II,Receiver Category III,Receiver Category IV,Receiver Category V,Receiver Category VI,Receiver Category VII,Receiver Category VIII,Receiver Category IX,Receiver Category X,Receiver Country I,Receiver Country II,Receiver Country III,Receiver Country IV,Receiver Country V,Receiver Country VI,Receiver Country VII,Receiver Country VIII,Receiver Country IX,Receiver Country X,Receiver Regime Type I,Receiver Regime Type II,Receiver Regime Type III,Initiator Category,Name Initiator,Name Initiator II,Initiator Country I,Initiator Country II,Initiator Country III,Initiator Country IV,Initiator Country V,Initiator Regime Type I,Initiator Regime Type II,Attribution Year,Political/Legal Response Year,Attribution Basis I,Attribution Type I,Attribution Basis II,Attribution Type II,Attribution Basis III,Attribution Type III,Attribution Basis IV,Attribution Type IV,Attribution IT-Security Community (category) I,Attribution IT-Security Community (category) II,Attribution IT-Security Community (country) I,Attribution IT-Security Community (country) II,Country of Origin: IT Attribution I,Country of Origin: IT Attribution II,Temporal Attribution Sequence,Cyber-Conflict Issue I,Cyber-Conflict Issue II,Cyber-Conflict Issue III,Cyber-Conflict Issue IV,Offline-Conflict (Intensity) - HIIK,Offline-Conflict (Issue) - HIIK I,Offline-Conflict (Issue) - HIIK II,Offline-Conflict (Issue) - HIIK III,Offline-Conflict (Issue) - HIIK IV,Zero Day(s),Incident Type I,Incident Type II,Incident Type III,Data Theft,Disruption,Hijacking (accessing and controlling a system),Physical Effects (spatial),Physical Effects (temporal),Unweigthed Cyber Intensity,Target/effect multiplier,Weighted Cyber Intensity,Casualties,Sources,Sources Attribution,Sources Politicization,Incident Name,Description
11,2.1,na,0,1,2003,na,na,2007,na,na,1.1,1.5,3.9,na,na,na,na,na,na,na,USA,GBR,na,na,na,na,na,na,na,na,1,na,na,2,0,na,CHN,na,na,na,na,3,na,2005,na,2,5,6,4,na,na,na,na,2,na,CHN,na,USA,na,2,0,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,"http://content.time.com/time/subscriber/article/0,33009,1098961,00.html",https://www.symantec.com/content/en/us/enterprise/articles/b-cxo_how_to_combat_cyber_espionage_somaini_ART_21032685.en-us.pdf; https://www.theguardian.com/technology/2014/may/19/us-accusations-chinese-hacking-eight-years;  https://www.washingtonpost.com/wp-dyn/content/article/2005/08/24/AR2005082402318.html,na,Titan Rain,"Titan Rain was the designation given by the federal government of the United States to a series of coordinated attacks on American computer systems since 2003; they were known to have been ongoing for at least three years.[1] The attacks were labeled as Chinese in origin, although their precise nature, e.g., state-sponsored espionage, corporate espionage, or random hacker attacks, and their real identities – masked by proxy, zombie computer, spyware/virus infected – remain unknown."
12,2.1,3,0,1,2003,na,na,2003,na,na,1.1,1.3,1.5,1.6,5,na,na,na,na,na,TWN,na,na,na,na,na,na,na,na,na,1,na,na,2,0,na,CHN,na,na,na,na,3,na,2013,na,0,3,2,3,na,na,na,na,2,na,CHN,na,TWN,na,na,1,7,9,na,2,1,7,9,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://www.reuters.com/article/net-us-taiwan-cyber/taiwan-a-testing-ground-for-chinese-cyber-army-idUSBRE96H1C120130719;  https://nsarchive2.gwu.edu//NSAEBB/NSAEBB424/docs/Cyber-030.pdf,https://www.reuters.com/article/net-us-taiwan-cyber/taiwan-a-testing-ground-for-chinese-cyber-army-idUSBRE96H1C120130719;  https://nsarchive2.gwu.edu//NSAEBB/NSAEBB424/docs/Cyber-030.pdf,https://books.google.de/books?id=APT eCwAAQBAJ&pg=PT122&lpg=PT122&dq=china+taiwan+2004+hacks+party&source=bl&ots=3sWN_ujpJn&sig=ACfU3U1lbym48HyjivjwwQzcJHCMcESvRQ&hl=de&sa=X&ved=2ahUKEwj-99T1i77jAhXD_KQKHeRZDYMQ6AEwB3oECAgQAQ#v=onepage&q=china%20taiwan%202004%20hacks%20party&f=false,China vs. Taiwan 2003,"Hackers operating from sites in mainland China’s Hubei and Fujian Provinces penetrate thirty Taiwan government agencies and at least twice as many Taiwan companies. The attacks focus on the Defense Ministry, Election Commission, and the National Police Administration among others."
13,1,10,0,na,2004,4,na,2004,7,na,1.1,1.5,1.6,5,8,na,na,na,na,na,KOR,na,na,na,na,na,na,na,na,na,1,na,na,1,0,na,PRK,na,na,na,na,3,na,2009,na,5,0,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,2,1,7,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,http://www.keia.org/sites/default/files/publications/kei_aps_mansourov_final.pdf,na,na,DDoS North Korea 2004,"A total of 314 PCs were hacked, including servers at the Ministry of Maritime Affairs and Fisheries, enterprises and universities. The attack was attributed to North Korea by the Korea Economic Institute of America."
14,2,3,4,na,2004,7,na,2004,7,na,1.1,1.8,na,na,na,na,na,na,na,na,TWN,na,na,na,na,na,na,na,na,na,1,na,na,4,0,na,CHN,na,na,na,na,3,na,na,na,0,0,3,1,na,na,na,na,na,na,na,na,na,na,na,1,7,na,na,2,1,7,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://nsarchive2.gwu.edu//NSAEBB/NSAEBB424/docs/Cyber-030.pdf; https://books.google.de/books?id=APT eCwAAQBAJ&pg=PT122&lpg=PT122&dq=china+taiwan+2004+hacks+party&source=bl&ots=3sWN_ujpJn&sig=ACfU3U1lbym48HyjivjwwQzcJHCMcESvRQ&hl=de&sa=X&ved=2ahUKEwj-99T1i77jAhXD_KQKHeRZDYMQ6AEwB3oECAgQAQ#v=onepage&q=china%20taiwan%202004%20hacks%20party&f=false,https://books.google.de/books?id=APT eCwAAQBAJ&pg=PT122&lpg=PT122&dq=china+taiwan+2004+hacks+party&source=bl&ots=3sWN_ujpJn&sig=ACfU3U1lbym48HyjivjwwQzcJHCMcESvRQ&hl=de&sa=X&ved=2ahUKEwj-99T1i77jAhXD_KQKHeRZDYMQ6AEwB3oECAgQAQ#v=onepage&q=china%20taiwan%202004%20hacks%20party&f=false,https://books.google.de/books?id=APT eCwAAQBAJ&pg=PT122&lpg=PT122&dq=china+taiwan+2004+hacks+party&source=bl&ots=3sWN_ujpJn&sig=ACfU3U1lbym48HyjivjwwQzcJHCMcESvRQ&hl=de&sa=X&ved=2ahUKEwj-99T1i77jAhXD_KQKHeRZDYMQ6AEwB3oECAgQAQ#v=onepage&q=china%20taiwan%202004%20hacks%20party&f=false,Taiwan`s Kuomintang Hack 2004,"Attacks against Taiwan continued in 2004 targeting Websites belonging to Taiwan's Ministry of Finance, the Kuomintang Party, the Democratic Progressive Party (DPP) and the Ministry of National Defense’s (MND) Military News Agency."
15,2.1,4,4,na,2004,7,na,2004,7,na,1.1,na,na,na,na,na,na,na,na,na,KOR,na,na,na,na,na,na,na,na,na,1,na,na,2,0,na,CHN,na,na,na,na,3,na,2004,na,5,0,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,http://cc.pacforum.org/2004/10/turning-point-china-korea-relations/,http://cc.pacforum.org/2004/10/turning-point-china-korea-relations/,na,ROK Hack 2004,"An attack, that has been attributed to the Chinese PLA was sophisticated and surprisingly successful, infecting at least 278 computers at 10 South Korean government agencies with Trojan horse-type viruses that allowed hackers to access computer data when the user opens the files. "
16,1,3,0,1,2004,7,na,2005,na,na,1.1,1.4,1.5,1.8,2,9,na,na,na,na,GRC,na,na,na,na,na,na,na,na,na,1,na,na,1,NSA/Equation Group,na,USA,na,na,na,na,1,na,2015,2014,0,4,6,10,na,na,na,na,na,na,na,na,na,na,na,7,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.theguardian.com/commentisfree/2015/sep/30/athens-affair-encryption-backdoors; https://www.schneier.com/blog/archives/2007/07/story_of_the_gr_1.html; https://spectrum.ieee.org/telecom/security/the-athens-affair,https://theintercept.com/2015/09/28/death-athens-rogue-nsa-operation/,https://spectrum.ieee.org/telecom/security/the-athens-affair,Athens Affair,"Vodafone Greeces services were hacked by an group, later attributed to the American NSA. They wiretapped the phones of parts of the greek government and of greek civil society for 5 months, via the ""lawful intercept"" system of Vodaphone"
17,2,4,0,na,2005,na,na,2005,na,na,1.1,1.6,4.2,6,8,na,na,na,na,na,JPN,na,na,na,na,na,na,na,na,na,1,na,na,0,0,na,KOR,CHN,na,na,na,1,na,na,na,0,4,na,na,na,na,na,na,na,na,na,na,na,na,na,1,7,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,http://www.crime-research.org/news/11.05.2005/1227/,http://www.crime-research.org/news/11.05.2005/1227/,na,Korea vs. Japan 2005,A series of attacks believed to have originated from China and South Korea hit numerous Japanese university and industrial Websites. The attacks may have been caused by a rise in tensions between the countries over the Japanese Education Ministry‘s alleged omission of key historical facts pertaining to Japan’s actions in World War II and China’s opposition to Japan’s attempt to be a permanent member of the UN Security Council.
18,2.1,4,2,na,2005,na,na,2015,na,na,1.1,5,7,na,na,na,na,na,na,na,IND,USA,VNM,MMR,PHL,KOR,SGP,SAU,THA,na,1,2,3,2,APT 30/Lotus Panda/Naikon,PLA Unit 78020,CHN,na,na,na,na,3,na,2015,na,2,5,na,na,na,na,na,na,2,na,CHN,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://techcrunch.com/2015/04/12/fireeye-APT -30-southeast-asia-india-report/,https://www.fireeye.com/blog/threat-research/2015/04/APT _30_and_the_mecha.html; http://cdn2.hubspot.net/hubfs/454298/Project_CAMERASHY_ThreatConnect_Copyright_2015.pdf,na,"APT  30 aka Naikon, PLA Unit 78020, Lotus Panda","The Chinese government is accused of being behind a newly discovered set of cyber attacks waged against government agencies, corporate companies and journalists across India and Southeast Asia between 2005 and 2015."
19,10,na,2,na,2005,na,na,2016,na,na,1.1,3.1,3.8,5,7,na,na,na,na,na,BRA,USA,RUS,FRA,UAE,IND,KAZ,na,na,na,1,3,na,3.6,Poseidon Group,na,BRA,na,na,na,na,1,na,na,na,2,5,na,na,na,na,na,na,3.6,na,BRA,na,RUS,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,2,0,2,0,0,4,1,4,0,https://securelist.com/poseidon-group-a-targeted-attack-boutique-specializing-in-global-cyber-espionage/73673/; https://securityaffairs.co/wordpress/44402/cyber-crime/poseidon-group-attacks.html,na,na,PoseidonGroup: The Boutique,"Kaspersky identified Poseidon; a brazilian, portugese speaking APT, active from at least 2005, which was involved in many espionage operations up until 2016"
20,2,10,4,na,2005,2,na,2005,4,na,1.8,1.9,4.6,6,7,na,na,na,na,na,KGZ,na,na,na,na,na,na,na,na,na,3,na,na,0,0,na,KGZ,na,na,na,na,3,na,na,na,5,5,na,na,na,na,na,na,na,na,na,na,na,na,na,1,2,na,na,3,1,2,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,http://web.mit.edu/smadnick/www/wp/2017-10.pdf,https://opennet.net/special/kg/,na,Tulip Revolution Kyrgyzstan,"Websites belonging to political parties and independent media were subject to unexplained technical failures and deliberate hacking during Kyrgyzstan's recent Parliamentary elections. Attacks included flooding journalist e-mailaccounts with large amounts of spam, and spoofing of e-mail from Kyrgyz websites located in the US. Several political websites were deliberately defaced. "
21,1,na,4,na,2006,na,na,na,na,na,7,na,na,na,na,na,na,na,na,na,QAT,na,na,na,na,na,na,na,na,na,3,na,na,1,NSA/Equation Group,na,USA,na,na,na,na,1,na,2013,na,0,3,5,5,na,na,na,na,na,na,na,na,na,na,na,7,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://www.spiegel.de/international/world/nsa-spied-on-al-jazeera-communications-snowden-document-a-919681.html,na,na,NSA vs. Al Jazeera,The NSA hacked the arab Al-Jazeera
22,1,na,4,na,2006,na,na,na,na,na,3.3,na,na,na,na,na,na,na,na,na,RUS,na,na,na,na,na,na,na,na,na,3,na,na,1,NSA/Equation Group,na,USA,na,na,na,na,1,na,2013,na,0,3,5,5,na,na,na,na,na,na,na,na,na,na,na,1,7,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://www.spiegel.de/international/world/nsa-spied-on-al-jazeera-communications-snowden-document-a-919681.html,na,na,NSA vs. Aeroflot,The NSA hacked the Russian airline Aeroflot
23,1,na,5,na,2006,na,na,2014,na,na,4.6,5,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,1,APT 1/Comment Crew,PLA Unit 61398,CHN,na,na,na,na,3,na,2014,2014,6,7,na,na,na,na,na,na,na,na,na,na,na,na,na,7,na,na,na,1,7,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,http://time.com/106319/heres-what-chinese-hackers-actually-stole-from-u-s-companies/,https://www.justice.gov/opa/pr/us-charges-five-chinese-military-hackers-cyber-espionage-against-us-corporations-and-labor,na,PLA vs. Westinghouse Electric & US Steel,Chinese-government backed hackers steal e-mails from a US electric company containing the company's strategy. The US unsealed an indictment against the PLA hackers in 2014.
24,1,4,1,na,2006,na,na,2006,na,na,1.1,1.5,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,1,0,na,CHN,na,na,na,na,3,na,2006,na,6,8,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://gcn.com/Articles/2006/08/17/Red-storm-rising.aspx?Page=1,https://gcn.com/Articles/2006/08/17/Red-storm-rising.aspx?Page=1,na,Red Storm Rising,"China has downloaded 10 to 20 terabytes of data from the NIPRNet (DOD's Non-Classified IP Router Network),' said Maj. Gen. William Lord, director of information, services and integration in the Air Force's Office of Warfighting Integration and Chief Information Officer."
25,1,8,2,na,2006,na,na,2011,na,na,1.1,2,3.1,3.6,3.9,4.8,5,7,na,na,USA,CAN,KOR,TWN,VNM,DEU,IND,JPN,GBR,na,1,3,na,2,APT 1/Comment Crew,PLA Unit 61398,CHN,na,na,na,na,3,na,2011,na,2,8,4,3,5,3,na,na,2,3.4,CHN,na,USA,RUS,na,0,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://web.archive.org/web/20110804083836/http://www.mcafee.com/us/resources/white-papers/wp-operation-shady-rat.pdf;  https://eugene.kaspersky.com/2011/08/18/shady-rat-shoddy-rat/,https://www.washingtonpost.com/national/national-security/report-identifies-widespread-cyber-spying/2011/07/29/gIQAoTUmqI_story.html?utm_term=.f1ca0cb01882; https://www.darkreading.com/attacks-and-breaches/shady-rat-no-china-smoking-gun/d/d-id/1099506?=&piddl_msgorder=thrd;  https://www.nytimes.com/2013/02/19/technology/chinas-army-is-seen-as-tied-to-hacking-against-us.html?emc=na&_r=1&;  https://www.csmonitor.com/USA/2012/0914/Stealing-US-business-secrets-Experts-ID-two-huge-cyber-gangs-in-China;  https://eugene.kaspersky.com/2011/08/18/shady-rat-shoddy-rat/,https://www.foxnews.com/tech/u-s-cybercops-caught-flat-footed-by-massive-global-cyberattack,Operation Shady RAT,"Operation Shady RAT is the name given to hacker attacks in which at least 72 companies, organizations and governments around the world were systematically spied out between 2006 and 2011, attributed by Dimitri Alperovitch, a former employee of McAfee."
26,2.1,10,5,na,2006,na,na,2018,na,na,1.1,3.1,3.6,3.9,5,na,na,na,na,na,USA,BRA,CAN,FRA,CHE,DEU,IND,JAP,GBR,UAE,1,3,na,2,Stone Panda/APT 10/menupass,na,CHN,na,na,na,na,3,na,2018,2018,5,5,6,7,na,na,na,na,na,na,na,na,na,na,na,7,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://www.wired.com/story/doj-indictment-chinese-hackers-APT 10/, https://www.justice.gov/opa/press-release/file/1121706/download; https://intrusiontruth.wordpress.com/2018/08/15/APT 10-was-managed-by-the-tianjin-bureau-of-the-chinese-ministry-of-state-security/,na,APT 10/Technology Theft Campaign,"Beginning in or about 2006, members of the APT 10 Group, engaged in an intrusion campaign to obtain unauthorized access to the computers and computer networks of commercial and defense technology companies and U.S. Government agencies in order to steal information and data concerning a number of technologies"
27,1,6,4,na,2006,na,na,2013,na,na,3.8,na,na,na,na,na,na,na,na,na,BEL,na,na,na,na,na,na,na,na,na,1,na,na,1,NSA/Equation Group,na,USA,na,na,na,na,1,na,2013,na,0,3,5,5,na,na,na,na,na,na,na,na,na,na,na,7,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://www.spiegel.de/international/world/how-the-nsa-spies-on-international-bank-transactions-a-922430.html,na,na,NSA vs. SWIFT,The NSA hacked the global payment system SWIFT
28,2,na,4,na,2006,3,na,2006,3,na,5,6,9,na,na,na,na,na,na,na,DNK,na,na,na,na,na,na,na,na,na,1,na,na,3.3,0,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.cnet.com/news/danish-web-sites-hacked-over-mohammad-cartoons/,na,na,Denmark Cartoon Hack,Hackers break into about 600 Danish Websites to post threats and protest against satirical cartoons of the Prophet Mohammad
29,4,na,1,na,2006,6,na,2006,7,na,1.1,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,0,0,na,CHN,na,na,na,na,3,na,na,na,0,3,5,0,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,2,0,1,0,0,3,1,3,0,https://www.nytimes.com/2006/07/12/washington/12hacker.html,"https://books.google.de/books?id=bpgq3nwxU2EC&pg=PA71&lpg=PA71&dq=Dawn+Onley,+Dawn+and+Patience+Wait,+“Red+Storm+Rising:+DoD’s+Efforts+to+Stave+Off+Nation-+State+Cyber+Attacks+Begin+with+China,”+Government+Computer+News,+August+2006.&source=bl&ots=awl6HiyumB&sig=ACfU3U0RTfaKYx8TP4qt3qLNQSbmCoGOmQ&hl=de&sa=X&ved=2ahUKEwinsuDJgLzjAhVBEVAKHZyNBAsQ6AEwAHoECAUQAQ#v=onepage&q=Dawn%20Onley%2C%20Dawn%20and%20Patience%20Wait%2C%20“Red%20Storm%20Rising%3A%20DoD’s%20Efforts%20to%20Stave%20Off%20Nation-%20State%20Cyber%20Attacks%20Begin%20with%20China%2C”%20Government%20Computer%20News%2C%20August%202006.&f=false(S.71)",na,DOS Asia Department Hack,"The State Department is recovering from large-scale computer break-ins worldwide over the past several weeks that appeared to be directed at its headquarters and at offices dealing with Asia.
"
30,1,4,1,na,2006,6,8,2006,12,1,1.1,7,na,na,na,na,na,na,na,na,AFG,DEU,na,na,na,na,na,na,na,na,1,3,na,1,BND,na,DEU,na,na,na,na,1,na,2008,na,0,4,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://www.spiegel.de/spiegel/print/d-56756328.html,na,na,BND vs. Spiegel & Afghan Minister,The German BND spied on the email conversation between an afghani minister and a German Spiegel Journalist
